#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  19000      7.50e+00    1.28e+01      4.65e-02    3.07e-01      2.41e-01    4.10e-01    9.7e-04
  20000      1.02e+01    1.79e+00      6.26e-02    2.60e-02      3.30e-01    5.75e-02    9.6e-04
  21000      7.08e+00    1.18e+01      3.31e-02    2.54e-01      2.28e-01    3.80e-01    9.6e-04
  22000      1.07e+01    2.12e+00      4.04e-02    3.25e-02      3.45e-01    6.81e-02    9.6e-04
  23000      5.12e+00    1.30e+01      1.00e-02    1.14e-02      1.65e-01    4.19e-01    9.6e-04
  24000      3.59e+00    1.16e+01      4.78e-02    5.35e-02      1.16e-01    3.74e-01    9.6e-04
  25000      7.86e+00    1.50e+01      6.64e-02    4.37e-02      2.54e-01    4.85e-01    9.5e-04
  26000      3.44e+00    4.53e+00      5.89e-02    2.87e-02      1.11e-01    1.47e-01    9.5e-04
  27000      9.83e+00    7.00e+00      9.85e-02    2.76e-02      3.18e-01    2.27e-01    9.5e-04
  28000      5.12e+00    6.48e+00      1.29e-01    2.52e-01      1.65e-01    2.10e-01    9.5e-04
  29000      5.15e+00    3.66e+00      5.66e-02    2.79e-02      1.67e-01    1.19e-01    9.5e-04
  30000      5.16e+00    9.48e+00      4.90e-02    5.83e-01      1.68e-01    3.08e-01    9.5e-04
  31000      1.38e+01    1.06e+01      1.62e-01    1.94e-01      4.50e-01    3.45e-01    9.5e-04
  32000      9.60e+00    1.36e+00      1.61e-01    6.56e-03      3.12e-01    4.42e-02    9.5e-04
  33000      3.63e+00    1.84e+01      1.22e-01    4.56e-02      1.18e-01    6.00e-01    9.5e-04
  34000      1.27e+01    6.67e+00      1.16e-01    3.03e-02      4.13e-01    2.17e-01    9.5e-04
  35000      5.30e+00    2.81e+00      6.78e-02    5.13e-02      1.73e-01    9.16e-02    9.4e-04
  36000      6.50e+00    5.61e+00      1.30e-01    2.02e+00      2.12e-01    1.81e-01    9.4e-04
  37000      9.83e+00    7.68e+00      1.41e-01    1.44e-01      3.21e-01    2.51e-01    9.4e-04
  38000      3.83e+00    1.86e+00      3.78e-02    1.25e-03      1.24e-01    6.07e-02    9.4e-04
  39000      5.78e+00    3.14e+00      5.09e-02    2.90e-03      1.89e-01    1.03e-01    9.4e-04
  40000      1.05e+01    1.18e+01      8.72e-02    1.88e-01      3.43e-01    3.88e-01    9.3e-04
  41000      5.01e+00    4.72e+00      5.10e-02    1.06e-02      1.65e-01    1.55e-01    9.3e-04
  42000      5.28e+00    4.38e+00      7.97e-02    3.33e-02      1.73e-01    1.44e-01    9.3e-04
  43000      4.54e+00    6.43e+00      8.05e-02    3.43e-02      1.49e-01    2.11e-01    9.3e-04
  44000      1.07e+01    4.43e+00      7.39e-02    1.40e-02      3.50e-01    1.45e-01    9.3e-04
  45000      6.10e+00    2.40e+00      6.15e-02    2.50e-02      2.01e-01    7.93e-02    9.2e-04
  46000      9.39e+00    2.67e+00      1.39e-01    3.69e-02      3.10e-01    8.79e-02    9.2e-04
  47000      6.12e+00    7.03e+00      1.47e-01    3.91e-02      2.02e-01    2.32e-01    9.2e-04
  48000      9.33e+00    1.48e+00      1.32e-01    1.73e-02      3.07e-01    4.87e-02    9.2e-04
  49000      6.50e+00    1.43e+00      1.20e-01    2.27e-02      2.14e-01    4.72e-02    9.2e-04
  50000      5.67e+00    1.24e+01      7.25e-02    1.87e-01      1.88e-01    4.12e-01    9.1e-04
  51000      6.28e+00    6.10e+00      9.85e-02    5.01e-02      2.08e-01    2.02e-01    9.1e-04
  52000      8.50e+00    1.24e+01      8.69e-02    2.11e-02      2.82e-01    4.09e-01    9.1e-04
  53000      1.10e+01    3.94e+00      1.09e-01    2.70e-02      3.63e-01    1.30e-01    9.1e-04
  54000      1.26e+01    2.03e+01      1.07e-01    3.84e-01      4.17e-01    6.71e-01    9.1e-04
  55000      2.78e+00    6.61e+00      3.40e-02    6.64e-03      9.26e-02    2.20e-01    9.0e-04
  56000      5.08e+00    2.67e+00      1.15e-01    4.37e-02      1.69e-01    8.86e-02    9.0e-04
  57000      4.29e+00    1.28e+00      6.58e-02    4.97e-02      1.43e-01    4.23e-02    9.0e-04
  58000      1.10e+01    8.37e+00      1.95e-01    6.17e-02      3.65e-01    2.79e-01    9.0e-04
  59000      3.74e+00    9.34e-01      2.95e-02    4.21e-03      1.25e-01    3.11e-02    9.0e-04
  60000      3.10e+00    1.01e+01      5.73e-02    1.37e-01      1.04e-01    3.38e-01    8.9e-04
  61000      5.38e+00    1.79e+00      5.19e-02    1.34e-02      1.80e-01    5.98e-02    8.9e-04
  62000      9.88e+00    1.94e+00      2.33e-01    3.00e-02      3.30e-01    6.47e-02    8.9e-04
  63000      2.51e+00    3.38e+00      3.71e-02    1.52e-02      8.38e-02    1.13e-01    8.9e-04
  64000      1.03e+01    1.02e+01      1.19e-01    4.62e-01      3.43e-01    3.39e-01    8.9e-04
  65000      8.70e+00    1.37e+01      4.13e-02    2.08e-01      2.92e-01    4.59e-01    8.9e-04
  66000      1.10e+01    6.53e+00      1.95e-01    1.38e-02      3.71e-01    2.19e-01    8.9e-04
  67000      5.59e+00    1.18e+01      4.19e-02    1.12e-01      1.88e-01    3.96e-01    8.9e-04
  68000      8.22e+00    2.17e+00      9.85e-02    2.51e-02      2.76e-01    7.28e-02    8.9e-04
  69000      4.40e+00    1.59e+00      5.33e-02    1.75e-02      1.48e-01    5.34e-02    8.9e-04
  70000      1.09e+01    1.12e+01      1.50e-01    1.42e-01      3.69e-01    3.78e-01    8.8e-04
  71000      5.01e+00    3.63e+00      8.48e-02    1.36e-02      1.69e-01    1.22e-01    8.8e-04
  72000      6.28e+00    7.66e-01      8.99e-02    8.81e-03      2.12e-01    2.58e-02    8.8e-04
  73000      3.57e+00    4.82e+00      7.25e-02    3.86e-02      1.20e-01    1.63e-01    8.8e-04
  74000      3.97e+00    1.86e+00      5.03e-02    1.99e-02      1.34e-01    6.26e-02    8.8e-04
  75000      9.52e+00    9.10e+00      6.32e-02    3.36e-02      3.23e-01    3.09e-01    8.7e-04
  76000      1.31e+01    2.06e+00      9.26e-02    8.41e-03      4.44e-01    6.98e-02    8.7e-04
  77000      4.06e+00    7.81e+00      7.55e-02    1.22e-01      1.37e-01    2.65e-01    8.7e-04
  78000      4.59e+00    1.04e+01      4.16e-02    3.27e-01      1.56e-01    3.54e-01    8.7e-04
  79000      2.43e+01    1.22e+00      3.82e-02    7.87e-03      8.25e-01    4.13e-02    8.7e-04
  80000      4.59e+00    2.23e+00      4.42e-02    2.03e-02      1.56e-01    7.60e-02    8.6e-04
  81000      3.68e+00    1.85e+01      7.59e-02    1.08e-01      1.25e-01    6.29e-01    8.6e-04
  82000      3.84e+00    3.67e+00      8.77e-02    6.28e-02      1.31e-01    1.25e-01    8.6e-04
  83000      4.42e+00    5.16e+00      6.25e-02    7.92e-03      1.50e-01    1.76e-01    8.6e-04
  84000      7.68e+00    6.14e+00      7.16e-02    9.44e-02      2.62e-01    2.09e-01    8.6e-04
  85000      3.50e+00    5.26e+00      3.40e-02    3.42e-02      1.20e-01    1.80e-01    8.5e-04
  86000      5.20e+00    2.95e+00      2.02e-02    2.44e-02      1.78e-01    1.01e-01    8.5e-04
  87000      8.77e+00    1.34e+00      5.17e-02    2.23e-02      3.00e-01    4.59e-02    8.5e-04
  88000      4.01e+00    9.40e-01      4.40e-02    4.42e-02      1.37e-01    3.18e-02    8.5e-04
  89000      1.51e+01    7.77e+00      1.19e-01    5.55e-02      5.17e-01    2.66e-01    8.5e-04
  90000      3.04e+00    1.55e+00      3.60e-02    5.76e-02      1.05e-01    5.28e-02    8.5e-04
  91000      2.84e+00    6.86e+00      1.27e-02    1.13e-02      9.75e-02    2.36e-01    8.5e-04
  92000      8.25e+00    4.17e+00      8.11e-02    1.14e-02      2.84e-01    1.43e-01    8.5e-04
  93000      3.21e+00    3.99e+00      1.03e-01    1.99e-03      1.10e-01    1.37e-01    8.5e-04
  94000      2.96e+00    8.29e+00      3.89e-02    2.73e-01      1.02e-01    2.85e-01    8.5e-04
  95000      2.92e+00    4.94e+00      5.02e-02    2.17e-02      1.00e-01    1.71e-01    8.4e-04
  96000      5.97e+00    3.11e+00      4.79e-02    1.89e-02      2.06e-01    1.07e-01    8.4e-04
  97000      2.33e+00    2.06e+00      3.17e-02    6.60e-03      8.04e-02    7.11e-02    8.4e-04
  98000      7.37e+00    3.70e+00      8.78e-02    1.50e-02      2.55e-01    1.28e-01    8.4e-04
  99000      4.09e+00    4.60e+00      2.06e-02    1.96e-02      1.41e-01    1.59e-01    8.4e-04
 100000      4.47e+00    7.12e+00      8.61e-02    1.43e-01      1.55e-01    2.47e-01    8.3e-04
 101000      6.55e+00    2.43e+00      6.21e-02    8.46e-03      2.27e-01    8.43e-02    8.3e-04
 102000      2.92e+00    7.62e+00      1.40e-02    4.75e-02      1.01e-01    2.64e-01    8.3e-04
 103000      1.82e+00    7.20e+00      2.09e-02    1.52e-01      6.31e-02    2.50e-01    8.3e-04
 104000      2.97e+00    3.65e+00      8.51e-02    2.60e-02      1.03e-01    1.27e-01    8.3e-04
 105000      6.46e+00    1.29e+00      1.91e-01    1.97e-03      2.25e-01    4.50e-02    8.2e-04
 106000      4.27e+00    1.10e+00      6.47e-02    2.78e-02      1.49e-01    3.82e-02    8.2e-04
 107000      4.46e+00    3.34e+00      5.79e-02    5.63e-02      1.55e-01    1.16e-01    8.2e-04
 108000      2.18e+00    5.52e+00      4.89e-02    5.84e-02      7.58e-02    1.92e-01    8.2e-04
 109000      6.30e+00    7.14e+00      1.52e-01    1.85e-02      2.19e-01    2.49e-01    8.2e-04
 110000      2.85e+00    2.81e+00      9.32e-02    2.75e-02      9.93e-02    9.85e-02    8.2e-04
 111000      5.56e+00    3.24e+00      5.50e-02    1.42e-02      1.95e-01    1.14e-01    8.2e-04
 112000      2.89e+00    1.15e+01      1.95e-02    9.12e-02      1.01e-01    4.01e-01    8.2e-04
 113000      2.59e+00    1.61e+00      5.49e-02    3.04e-03      9.05e-02    5.64e-02    8.2e-04
 114000      3.79e+00    2.34e+00      3.46e-02    3.17e-02      1.33e-01    8.18e-02    8.2e-04
 115000      1.71e+00    4.84e+00      2.56e-02    8.26e-02      6.02e-02    1.70e-01    8.1e-04
 116000      4.04e+00    2.27e+00      6.14e-02    3.28e-02      1.42e-01    7.96e-02    8.1e-04
 117000      7.91e+00    3.51e+00      9.28e-02    1.52e-02      2.78e-01    1.23e-01    8.1e-04
 118000      2.83e+00    6.03e+00      5.98e-02    2.00e-01      9.95e-02    2.12e-01    8.1e-04
 119000      3.05e+00    5.74e+00      2.10e-02    1.33e-02      1.07e-01    2.02e-01    8.1e-04
 120000      3.09e+00    2.21e+00      3.45e-02    3.40e-02      1.09e-01    7.79e-02    8.0e-04
 121000      2.85e+00    6.13e+00      7.94e-02    2.87e-01      1.01e-01    2.16e-01    8.0e-04
 122000      3.97e+00    2.18e+00      5.42e-02    2.00e-02      1.40e-01    7.70e-02    8.0e-04
 123000      7.39e+00    3.06e+00      9.63e-02    3.56e-02      2.61e-01    1.08e-01    8.0e-04
 124000      4.69e+00    4.07e+00      4.11e-02    5.04e-03      1.66e-01    1.44e-01    8.0e-04
 125000      2.91e+00    1.75e+01      4.46e-02    6.69e-01      1.03e-01    6.22e-01    7.9e-04
 126000      3.61e+00    6.32e+00      2.52e-02    4.69e-02      1.28e-01    2.25e-01    7.9e-04
 127000      4.69e+00    1.28e+00      9.42e-02    4.00e-02      1.66e-01    4.50e-02    7.9e-04
 128000      4.20e+00    1.48e+00      3.75e-02    2.18e-02      1.49e-01    5.24e-02    7.9e-04
 129000      3.05e+00    2.30e+00      9.08e-02    2.21e-02      1.08e-01    8.15e-02    7.9e-04
 130000      5.43e+00    1.79e+00      7.00e-02    5.39e-02      1.94e-01    6.35e-02    7.9e-04
 131000      4.32e+00    1.38e+00      7.48e-02    1.29e-02      1.54e-01    4.91e-02    7.9e-04
 132000      5.82e+00    1.19e+00      6.60e-02    1.73e-02      2.08e-01    4.24e-02    7.9e-04
 133000      3.65e+00    7.26e-01      1.91e-02    1.61e-02      1.30e-01    2.58e-02    7.9e-04
 134000      4.35e+00    9.48e+00      9.51e-02    1.43e-01      1.55e-01    3.38e-01    7.9e-04
 135000      7.21e+00    9.47e+00      1.05e-01    3.87e-01      2.58e-01    3.39e-01    7.8e-04
 136000      6.98e+00    4.18e+00      7.03e-02    5.44e-02      2.50e-01    1.50e-01    7.8e-04
 137000      5.65e+00    7.92e+00      7.30e-02    2.64e-02      2.03e-01    2.84e-01    7.8e-04
 138000      4.86e+00    1.78e+00      9.08e-02    8.93e-03      1.74e-01    6.38e-02    7.8e-04
 139000      8.76e+00    3.99e+00      1.15e-01    8.25e-03      3.14e-01    1.43e-01    7.8e-04
 140000      6.71e+00    5.70e+00      1.04e-01    9.01e-03      2.41e-01    2.05e-01    7.7e-04
 141000      2.59e+00    3.39e+00      5.62e-02    2.83e-02      9.32e-02    1.22e-01    7.7e-04
 142000      2.13e+00    8.57e+00      3.60e-02    1.75e-01      7.63e-02    3.09e-01    7.7e-04
 143000      5.06e+00    2.38e+00      6.52e-02    8.82e-03      1.82e-01    8.57e-02    7.7e-04
 144000      6.75e+00    4.57e+00      1.03e-01    1.57e-02      2.43e-01    1.65e-01    7.7e-04
 145000      3.10e+00    8.62e+00      4.17e-02    2.26e-01      1.12e-01    3.12e-01    7.6e-04
 146000      7.08e+00    1.72e+00      1.12e-01    1.52e-02      2.56e-01    6.20e-02    7.6e-04
 147000      3.64e+00    1.37e+00      3.51e-02    4.04e-03      1.32e-01    4.94e-02    7.6e-04
 148000      4.72e+00    9.48e+00      4.55e-02    1.21e-01      1.71e-01    3.43e-01    7.6e-04
 149000      3.18e+00    1.11e+00      2.50e-02    1.14e-02      1.15e-01    4.02e-02    7.6e-04
 150000      3.33e+00    6.54e+00      4.97e-02    2.42e-01      1.21e-01    2.38e-01    7.6e-04
 151000      5.57e+00    1.38e+01      6.22e-02    1.17e-01      2.02e-01    5.02e-01    7.6e-04
 152000      2.93e+00    4.08e+00      3.69e-02    5.08e-02      1.06e-01    1.48e-01    7.6e-04
 153000      2.86e+00    3.91e+00      3.48e-02    8.97e-02      1.04e-01    1.42e-01    7.6e-04
 154000      2.96e+00    3.69e+00      5.39e-02    4.50e-02      1.07e-01    1.34e-01    7.6e-04
 155000      1.72e+00    1.13e+00      1.32e-02    1.79e-02      6.28e-02    4.13e-02    7.5e-04
 156000      5.93e+00    6.49e+00      6.23e-02    1.82e-02      2.17e-01    2.37e-01    7.5e-04
 157000      6.70e+00    7.32e-01      2.55e-02    1.82e-02      2.45e-01    2.66e-02    7.5e-04
 158000      3.50e+00    4.66e+00      6.52e-02    1.57e-01      1.28e-01    1.70e-01    7.5e-04
 159000      9.06e+00    4.93e+00      2.36e-01    9.45e-02      3.30e-01    1.80e-01    7.5e-04
 160000      1.45e+01    2.56e+00      7.90e-02    2.22e-03      5.31e-01    9.39e-02    7.4e-04
 161000      2.20e+00    1.51e+00      4.39e-02    5.68e-04      8.07e-02    5.54e-02    7.4e-04
 162000      9.00e+00    1.60e+00      9.22e-02    1.20e-02      3.30e-01    5.88e-02    7.4e-04
 163000      3.97e+00    4.19e+00      5.33e-02    1.59e-01      1.45e-01    1.53e-01    7.4e-04
 164000      4.03e+00    8.67e+00      7.51e-02    6.62e-02      1.48e-01    3.18e-01    7.4e-04
 165000      8.57e+00    4.03e+00      1.07e-01    1.02e-01      3.16e-01    1.48e-01    7.4e-04
 166000      2.28e+00    4.67e+00      3.94e-02    1.95e-02      8.37e-02    1.72e-01    7.4e-04
 167000      3.36e+00    6.90e+00      3.52e-02    1.92e-01      1.24e-01    2.54e-01    7.4e-04
 168000      1.13e+01    2.31e+00      1.06e-01    9.63e-04      4.17e-01    8.52e-02    7.4e-04
 169000      5.25e+00    2.91e+00      1.10e-01    7.32e-02      1.93e-01    1.07e-01    7.4e-04
 170000      3.32e+00    1.04e+01      5.94e-02    2.44e-01      1.23e-01    3.83e-01    7.3e-04
 171000      2.43e+00    5.08e+00      4.55e-02    3.22e-01      8.99e-02    1.87e-01    7.3e-04
 172000      8.51e+00    1.99e+00      1.27e-01    4.16e-04      3.15e-01    7.38e-02    7.3e-04
 173000      1.80e+00    8.92e-01      4.95e-02    1.03e-02      6.64e-02    3.30e-02    7.3e-04
 174000      5.12e+00    3.37e+00      4.99e-02    5.57e-02      1.89e-01    1.25e-01    7.3e-04
 175000      3.97e+00    1.97e+00      6.42e-02    2.09e-02      1.47e-01    7.30e-02    7.2e-04
 176000      2.12e+00    7.64e+00      2.24e-02    7.22e-02      7.89e-02    2.84e-01    7.2e-04
 177000      1.18e+01    3.69e+00      1.33e-01    2.71e-02      4.38e-01    1.37e-01    7.2e-04
 178000      3.75e+00    1.26e+00      6.50e-02    1.38e-03      1.39e-01    4.68e-02    7.2e-04
 179000      5.97e+00    1.12e+00      7.31e-02    8.02e-03      2.22e-01    4.15e-02    7.2e-04
 180000      4.24e+00    1.93e+01      7.78e-02    1.09e-01      1.58e-01    7.23e-01    7.2e-04
 181000      3.93e+00    2.88e+00      1.57e-01    1.05e-02      1.46e-01    1.08e-01    7.2e-04
 182000      1.91e+00    3.82e+00      2.78e-02    1.71e-02      7.13e-02    1.43e-01    7.2e-04
 183000      3.17e+00    2.69e+00      5.53e-02    3.77e-02      1.18e-01    1.00e-01    7.2e-04
 184000      4.04e+00    1.36e+00      4.11e-02    3.78e-02      1.51e-01    5.08e-02    7.2e-04
 185000      2.03e+00    9.20e+00      3.83e-02    9.34e-02      7.59e-02    3.46e-01    7.1e-04
 186000      1.36e+01    8.41e-01      1.72e-01    2.15e-02      5.09e-01    3.14e-02    7.1e-04
 187000      2.69e+00    9.23e-01      1.93e-02    3.05e-02      1.01e-01    3.43e-02    7.1e-04
 188000      3.71e+00    4.20e+00      7.28e-02    1.35e-02      1.39e-01    1.58e-01    7.1e-04
 189000      1.80e+00    1.75e+00      2.88e-02    3.95e-03      6.77e-02    6.57e-02    7.1e-04
 190000      3.36e+00    5.48e+00      8.73e-02    2.43e-02      1.27e-01    2.07e-01    7.0e-04
 191000      2.65e+00    2.14e+00      3.50e-02    4.10e-02      9.98e-02    8.02e-02    7.0e-04
 192000      6.93e+00    9.61e-01      5.84e-02    3.34e-02      2.61e-01    3.58e-02    7.0e-04
 193000      5.09e+00    1.22e+00      6.23e-02    1.09e-02      1.92e-01    4.62e-02    7.0e-04
 194000      3.49e+00    9.98e-01      6.78e-02    4.16e-03      1.31e-01    3.76e-02    7.0e-04
 195000      6.18e+00    8.05e-01      7.32e-02    2.67e-02      2.34e-01    3.02e-02    7.0e-04
 196000      2.63e+00    2.70e+00      5.68e-02    2.12e-02      9.94e-02    1.02e-01    7.0e-04
 197000      5.32e+00    8.12e+00      1.31e-01    6.54e-02      2.01e-01    3.08e-01    7.0e-04
 198000      2.08e+00    1.86e+00      4.44e-02    9.04e-03      7.89e-02    7.03e-02    7.0e-04
 199000      3.09e+00    1.16e+00      3.41e-02    4.02e-03      1.17e-01    4.40e-02    7.0e-04
 200000      4.06e+00    4.27e+00      1.53e-01    3.24e-02      1.54e-01    1.62e-01    6.9e-04
 201000      3.33e+00    7.75e+00      7.41e-02    6.73e-02      1.26e-01    2.95e-01    6.9e-04
 202000      5.22e+00    3.31e+00      1.93e-01    2.24e-02      1.98e-01    1.26e-01    6.9e-04
 203000      3.08e+00    1.55e+01      3.86e-02    1.14e-01      1.17e-01    5.89e-01    6.9e-04
 204000      4.52e+00    3.35e+00      8.71e-03    1.15e-02      1.72e-01    1.28e-01    6.9e-04
 205000      2.02e+00    1.35e+00      6.73e-02    2.76e-02      7.71e-02    5.14e-02    6.8e-04
 206000      2.03e+00    2.71e+00      2.58e-02    9.79e-03      7.74e-02    1.04e-01    6.8e-04
 207000      3.59e+00    1.38e+00      4.81e-02    1.58e-02      1.37e-01    5.25e-02    6.8e-04
 208000      2.11e+00    1.08e+00      2.57e-02    1.93e-02      8.05e-02    4.11e-02    6.8e-04
 209000      2.83e+00    1.86e+00      1.17e-01    1.19e-02      1.07e-01    7.13e-02    6.8e-04
 210000      3.63e+00    5.06e+00      3.30e-02    3.56e-03      1.39e-01    1.94e-01    6.8e-04
 211000      3.78e+00    1.18e+00      5.02e-02    2.37e-02      1.45e-01    4.51e-02    6.8e-04
 212000      2.32e+00    8.07e-01      6.31e-02    1.87e-02      8.88e-02    3.08e-02    6.8e-04
 213000      1.68e+00    1.16e+00      2.67e-02    2.45e-02      6.44e-02    4.45e-02    6.8e-04
 214000      1.98e+00    3.71e+00      3.78e-02    2.57e-02      7.60e-02    1.43e-01    6.8e-04
 215000      3.34e+00    3.78e+00      1.32e-02    2.00e-01      1.29e-01    1.46e-01    6.7e-04
 216000      1.84e+00    1.20e+00      5.43e-02    5.83e-03      7.09e-02    4.62e-02    6.7e-04
 217000      2.26e+00    2.30e+00      4.49e-02    3.26e-02      8.68e-02    8.87e-02    6.7e-04
 218000      4.61e+00    1.09e+00      6.88e-02    2.61e-02      1.78e-01    4.16e-02    6.7e-04
 219000      3.87e+00    6.25e+00      2.45e-02    1.31e-01      1.49e-01    2.41e-01    6.7e-04
 220000      7.30e+00    1.29e+00      1.87e-01    2.15e-02      2.83e-01    4.99e-02    6.6e-04
 221000      2.51e+00    2.46e+00      4.98e-02    1.70e-02      9.72e-02    9.53e-02    6.6e-04
 222000      1.47e+00    9.96e-01      5.02e-02    7.62e-04      5.68e-02    3.86e-02    6.6e-04
 223000      2.97e+00    9.00e+00      7.56e-02    1.82e-01      1.15e-01    3.49e-01    6.6e-04
 224000      4.85e+00    3.19e+00      7.59e-02    1.70e-02      1.88e-01    1.24e-01    6.6e-04
 225000      4.62e+00    6.33e+00      2.28e-02    2.50e-01      1.80e-01    2.46e-01    6.6e-04
 226000      1.30e+00    1.35e+00      1.14e-01    2.85e-02      4.82e-02    5.24e-02    6.6e-04
 227000      1.82e+00    5.92e+00      3.82e-02    1.79e-01      7.06e-02    2.30e-01    6.6e-04
 228000      2.35e+00    1.41e+00      1.10e-01    1.41e-02      9.07e-02    5.50e-02    6.6e-04
 229000      2.78e+00    4.05e+00      3.48e-02    1.84e-02      1.08e-01    1.58e-01    6.6e-04
 230000      3.91e+00    3.74e+00      4.69e-02    2.51e-01      1.53e-01    1.45e-01    6.5e-04
 231000      2.56e+00    3.51e+00      7.75e-02    1.78e-02      9.99e-02    1.37e-01    6.5e-04
 232000      2.63e+00    2.30e+00      3.07e-02    2.47e-01      1.03e-01    8.93e-02    6.5e-04
 233000      2.06e+00    5.74e+00      4.20e-02    5.62e-02      8.03e-02    2.24e-01    6.5e-04
 234000      1.53e+00    6.76e+00      4.76e-02    5.34e-01      5.95e-02    2.63e-01    6.5e-04
 235000      2.72e+00    1.18e+00      6.24e-02    1.22e-02      1.07e-01    4.64e-02    6.5e-04
 236000      1.84e+00    3.59e+00      2.63e-02    8.96e-03      7.24e-02    1.41e-01    6.5e-04
 237000      3.20e+00    2.68e+00      3.70e-02    1.33e-02      1.26e-01    1.05e-01    6.5e-04
 238000      3.47e+00    2.20e+00      4.37e-02    4.05e-02      1.36e-01    8.61e-02    6.5e-04
 239000      3.00e+00    2.67e+00      3.77e-02    6.38e-02      1.18e-01    1.05e-01    6.5e-04
 240000      4.68e+00    2.02e+00      7.81e-02    1.52e-02      1.85e-01    7.97e-02    6.4e-04
 241000      4.63e+00    3.12e+00      1.06e-01    4.82e-02      1.82e-01    1.23e-01    6.4e-04
 242000      3.03e+00    3.18e+00      5.97e-02    1.04e-02      1.19e-01    1.26e-01    6.4e-04
 243000      5.01e+00    4.73e+00      1.17e-01    6.35e-03      1.97e-01    1.87e-01    6.4e-04
 244000      4.07e+00    1.72e+00      3.71e-02    1.57e-02      1.61e-01    6.78e-02    6.4e-04
 245000      2.76e+00    1.01e+01      8.93e-02    7.01e-02      1.08e-01    4.03e-01    6.3e-04
 246000      1.65e+00    2.27e+00      2.78e-02    1.91e-02      6.54e-02    8.98e-02    6.3e-04
 247000      2.80e+00    4.13e+00      2.59e-02    2.66e-02      1.11e-01    1.64e-01    6.3e-04
 248000      3.10e+00    6.26e-01      9.78e-02    3.62e-02      1.23e-01    2.38e-02    6.3e-04
 249000      2.16e+00    8.47e-01      7.42e-02    8.28e-02      8.49e-02    2.94e-02    6.3e-04
 250000      3.20e+00    4.52e+00      2.07e-02    3.34e-02      1.27e-01    1.80e-01    6.3e-04
 251000      4.03e+00    3.29e+00      2.36e-01    1.88e-02      1.60e-01    1.31e-01    6.3e-04
 252000      4.20e+00    2.40e+00      7.41e-02    4.25e-03      1.67e-01    9.58e-02    6.3e-04
 253000      2.80e+00    1.22e+00      6.93e-02    4.64e-04      1.11e-01    4.85e-02    6.3e-04
 254000      3.10e+00    9.10e+00      1.00e-01    5.66e-01      1.22e-01    3.62e-01    6.3e-04
 255000      4.13e+00    8.59e-01      1.59e-01    1.13e-02      1.65e-01    3.43e-02    6.2e-04
 256000      4.06e+00    4.68e+00      1.22e-01    6.89e-02      1.62e-01    1.87e-01    6.2e-04
 257000      3.11e+00    6.50e+00      4.43e-02    2.68e-01      1.24e-01    2.60e-01    6.2e-04
 258000      1.41e+00    5.46e+00      4.52e-02    7.23e-01      5.61e-02    2.17e-01    6.2e-04
 259000      5.66e+00    2.62e+00      1.05e-01    4.36e-02      2.27e-01    1.05e-01    6.2e-04
 260000      2.09e+00    4.31e+00      7.89e-02    1.27e-01      8.39e-02    1.73e-01    6.2e-04
