#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.54e+01    1.77e+01      1.19e+00    4.34e-01      4.84e-01    5.61e-01    1.0e-03
   1000      9.39e+00    7.15e+00      2.58e-01    5.20e-01      2.97e-01    2.26e-01    1.0e-03
   2000      1.13e+01    4.53e+00      1.32e-01    5.10e-02      3.59e-01    1.43e-01    1.0e-03
   3000      2.28e+01    2.33e+01      6.14e-01    3.87e-01      7.22e-01    7.36e-01    1.0e-03
   4000      1.28e+01    2.48e+01      1.42e-01    4.71e-01      4.04e-01    7.85e-01    1.0e-03
   5000      7.62e+00    4.74e+00      7.55e-02    8.22e-02      2.42e-01    1.50e-01    9.9e-04
   6000      1.28e+01    1.05e+01      1.11e-01    1.18e-02      4.08e-01    3.34e-01    9.9e-04
   7000      9.40e+00    1.81e+01      6.88e-02    1.04e-01      2.99e-01    5.76e-01    9.9e-04
   8000      6.88e+00    1.15e+01      1.26e-01    3.47e-03      2.19e-01    3.65e-01    9.9e-04
   9000      1.18e+01    6.51e+00      8.78e-02    1.01e-01      3.75e-01    2.07e-01    9.9e-04
  10000      5.98e+00    1.55e+01      9.58e-02    2.34e-02      1.91e-01    4.96e-01    9.8e-04
  11000      7.56e+00    1.27e+01      1.35e-01    8.86e-02      2.41e-01    4.06e-01    9.8e-04
  12000      3.57e+00    9.40e+00      9.45e-02    2.15e-02      1.14e-01    3.00e-01    9.8e-04
  13000      4.98e+00    1.05e+01      1.31e-01    5.96e-02      1.59e-01    3.34e-01    9.8e-04
  14000      7.67e+00    6.58e+00      3.46e-02    4.85e-03      2.45e-01    2.10e-01    9.8e-04
  15000      1.29e+01    1.58e+01      7.12e-02    2.14e-01      4.14e-01    5.08e-01    9.7e-04
  16000      5.96e+00    3.11e+00      1.21e-01    5.58e-02      1.91e-01    9.95e-02    9.7e-04
  17000      1.14e+01    1.47e+01      1.39e-01    9.27e-02      3.64e-01    4.72e-01    9.7e-04
  18000      8.26e+00    9.37e+00      1.81e-01    2.69e-01      2.65e-01    3.00e-01    9.7e-04
