#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      5.40e+00    1.26e+00      1.19e-01    1.87e-02      1.79e-01    4.19e-02    9.0e-04
  59000      1.30e+01    3.42e+00      2.15e-01    8.86e-02      4.33e-01    1.14e-01    9.0e-04
  60000      7.75e+00    2.15e+00      7.26e-02    5.38e-02      2.59e-01    7.16e-02    8.9e-04
  61000      4.53e+00    1.24e+01      7.97e-02    1.84e-01      1.51e-01    4.14e-01    8.9e-04
  62000      3.24e+00    3.53e+00      6.40e-02    7.21e-02      1.08e-01    1.18e-01    8.9e-04
  63000      4.63e+00    8.00e+00      5.75e-02    1.97e-01      1.55e-01    2.67e-01    8.9e-04
  64000      1.00e+01    4.41e+00      1.77e-01    1.87e-02      3.34e-01    1.48e-01    8.9e-04
  65000      4.98e+00    2.97e+00      9.79e-02    3.40e-02      1.67e-01    9.97e-02    8.9e-04
  66000      4.02e+00    1.57e+01      6.64e-02    4.19e-01      1.35e-01    5.27e-01    8.9e-04
  67000      1.59e+01    2.96e+00      1.44e-01    9.74e-03      5.34e-01    9.96e-02    8.9e-04
  68000      3.63e+00    6.47e+00      4.75e-02    2.26e-02      1.22e-01    2.17e-01    8.9e-04
  69000      3.45e+00    3.40e+00      3.95e-02    4.17e-02      1.16e-01    1.14e-01    8.9e-04
  70000      3.37e+00    1.32e+00      4.83e-02    1.42e-02      1.14e-01    4.47e-02    8.8e-04
  71000      8.53e+00    2.42e+00      6.07e-02    3.66e-02      2.88e-01    8.16e-02    8.8e-04
  72000      4.25e+00    2.93e+00      5.29e-02    9.27e-04      1.43e-01    9.87e-02    8.8e-04
  73000      3.59e+00    1.21e+00      2.76e-02    1.49e-02      1.21e-01    4.07e-02    8.8e-04
  74000      9.93e+00    4.07e+00      1.29e-01    3.22e-02      3.35e-01    1.37e-01    8.8e-04
  75000      5.02e+00    8.87e+00      4.36e-02    2.51e-01      1.70e-01    3.01e-01    8.7e-04
  76000      5.03e+00    6.37e+00      3.98e-02    5.05e-02      1.70e-01    2.16e-01    8.7e-04
  77000      3.69e+00    7.79e+00      3.04e-02    9.19e-02      1.25e-01    2.64e-01    8.7e-04
  78000      2.90e+00    1.66e+00      4.55e-02    8.15e-03      9.81e-02    5.62e-02    8.7e-04
  79000      6.70e+00    1.03e+01      7.32e-02    5.46e-02      2.27e-01    3.51e-01    8.7e-04
  80000      5.65e+00    2.23e+00      8.36e-02    2.20e-02      1.92e-01    7.58e-02    8.6e-04
  81000      4.23e+00    5.99e+00      5.24e-02    2.81e-02      1.44e-01    2.04e-01    8.6e-04
  82000      3.61e+00    3.01e+00      7.26e-02    5.97e-02      1.23e-01    1.02e-01    8.6e-04
  83000      9.34e+00    4.69e+00      1.08e-01    3.38e-02      3.18e-01    1.60e-01    8.6e-04
  84000      3.99e+00    2.14e+00      6.24e-02    1.53e-02      1.36e-01    7.29e-02    8.6e-04
  85000      9.75e+00    6.37e+00      2.11e-01    8.09e-02      3.33e-01    2.18e-01    8.5e-04
  86000      2.64e+00    2.99e+00      5.46e-02    1.90e-02      9.02e-02    1.02e-01    8.5e-04
  87000      3.73e+00    3.61e+00      5.67e-02    9.57e-02      1.27e-01    1.23e-01    8.5e-04
  88000      2.18e+00    2.33e+00      2.94e-02    8.06e-03      7.46e-02    7.96e-02    8.5e-04
  89000      3.05e+00    2.40e+00      4.38e-02    3.64e-02      1.04e-01    8.21e-02    8.5e-04
  90000      5.30e+00    2.25e+00      7.90e-02    2.62e-02      1.82e-01    7.73e-02    8.5e-04
  91000      3.19e+00    3.18e+00      1.64e-02    2.47e-02      1.10e-01    1.09e-01    8.5e-04
  92000      3.37e+00    1.65e+00      9.66e-02    5.87e-04      1.16e-01    5.66e-02    8.5e-04
  93000      6.23e+00    6.89e+00      2.83e-02    3.41e-03      2.14e-01    2.37e-01    8.5e-04
  94000      4.68e+00    4.29e+00      9.08e-02    7.74e-02      1.61e-01    1.47e-01    8.5e-04
  95000      6.38e+00    1.37e+01      8.55e-02    1.20e-01      2.20e-01    4.72e-01    8.4e-04
  96000      7.19e+00    4.45e+00      9.13e-02    1.20e-02      2.48e-01    1.54e-01    8.4e-04
  97000      5.08e+00    4.58e+00      7.26e-02    6.78e-03      1.75e-01    1.58e-01    8.4e-04
  98000      2.91e+00    6.32e+00      5.17e-02    1.30e-01      1.00e-01    2.18e-01    8.4e-04
  99000      3.56e+00    1.79e+00      8.56e-02    1.31e-02      1.23e-01    6.17e-02    8.4e-04
 100000      5.34e+00    2.40e+00      2.54e-02    3.28e-03      1.85e-01    8.33e-02    8.3e-04
 101000      3.30e+00    8.28e+00      4.95e-02    3.96e-01      1.14e-01    2.87e-01    8.3e-04
 102000      1.28e+01    3.26e+00      3.68e-01    2.90e-02      4.43e-01    1.13e-01    8.3e-04
 103000      5.42e+00    6.26e+00      3.79e-02    7.94e-02      1.88e-01    2.17e-01    8.3e-04
 104000      8.48e+00    6.12e+00      9.07e-02    1.32e-01      2.94e-01    2.12e-01    8.3e-04
 105000      2.38e+00    1.44e+00      2.07e-02    3.10e-02      8.30e-02    5.00e-02    8.2e-04
 106000      5.10e+00    2.31e+00      1.07e-01    8.03e-02      1.78e-01    8.02e-02    8.2e-04
 107000      3.65e+00    2.79e+00      6.73e-02    2.05e-02      1.27e-01    9.71e-02    8.2e-04
 108000      3.47e+00    1.85e+00      6.31e-02    2.17e-03      1.21e-01    6.43e-02    8.2e-04
 109000      4.76e+00    4.62e+00      3.15e-02    7.22e-02      1.66e-01    1.61e-01    8.2e-04
 110000      4.94e+00    2.68e+00      7.32e-02    8.26e-03      1.73e-01    9.39e-02    8.2e-04
