#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
1834000      2.90e-01    1.16e-01      1.83e-02    3.12e-03      4.69e-02    1.94e-02    3.3e-05
1835000      4.08e-01    1.37e-01      2.11e-02    2.87e-02      6.52e-02    1.15e-02    3.3e-05
1836000      6.18e-01    2.37e-01      1.35e-02    1.25e-03      1.05e-01    4.06e-02    3.3e-05
1837000      4.96e-01    1.63e-01      7.16e-02    9.46e-03      7.69e-02    2.46e-02    3.3e-05
1838000      4.00e-01    7.98e-01      2.98e-02    1.06e-01      6.53e-02    1.31e-01    3.3e-05
1839000      4.20e-01    2.21e-01      2.92e-02    3.47e-03      6.95e-02    3.76e-02    3.3e-05
1840000      2.77e-01    1.09e-01      1.12e-02    1.48e-03      4.61e-02    1.86e-02    3.3e-05
1841000      1.95e-01    1.72e-01      1.62e-02    3.36e-02      3.08e-02    1.40e-02    3.3e-05
1842000      3.84e-01    2.70e-01      1.35e-02    4.58e-02      6.39e-02    3.28e-02    3.3e-05
1843000      4.75e-01    2.11e-01      2.59e-02    4.26e-02      8.02e-02    1.49e-02    3.3e-05
1844000      3.58e-01    2.34e-01      2.68e-02    4.91e-03      5.81e-02    3.96e-02    3.3e-05
1845000      3.49e-01    4.04e-01      1.81e-02    1.26e-02      5.65e-02    6.76e-02    3.2e-05
1846000      3.71e-01    3.33e-01      2.67e-02    1.88e-02      6.04e-02    5.50e-02    3.2e-05
1847000      1.55e-01    8.60e-01      1.23e-02    1.87e-01      2.50e-02    1.18e-01    3.2e-05
1848000      4.65e-01    6.10e-01      2.74e-02    9.86e-04      7.69e-02    1.05e-01    3.2e-05
1849000      2.78e-01    1.25e-01      1.80e-02    8.07e-04      4.46e-02    2.16e-02    3.2e-05
1850000      5.33e-01    2.97e-01      6.62e-02    4.00e-02      7.91e-02    4.16e-02    3.2e-05
1851000      2.10e-01    5.54e-01      1.36e-02    8.28e-03      3.46e-02    9.55e-02    3.2e-05
1852000      1.97e-01    3.17e-01      1.31e-02    1.23e-02      3.17e-02    5.23e-02    3.2e-05
1853000      3.37e-01    3.33e-01      1.90e-02    7.56e-03      5.61e-02    5.75e-02    3.2e-05
1854000      2.34e-01    9.75e-02      5.64e-03    2.18e-03      3.93e-02    1.67e-02    3.2e-05
1855000      7.61e-01    1.78e-01      4.60e-02    1.22e-02      1.30e-01    2.58e-02    3.2e-05
1856000      2.29e-01    6.86e-01      2.24e-02    1.31e-01      3.68e-02    1.01e-01    3.2e-05
1857000      1.42e-01    5.33e-01      3.26e-03    1.04e-02      2.43e-02    9.27e-02    3.2e-05
1858000      1.96e-01    4.41e-01      6.49e-03    9.69e-03      3.28e-02    7.57e-02    3.2e-05
1859000      4.32e-01    4.20e-01      2.01e-02    3.00e-02      7.32e-02    6.94e-02    3.2e-05
1860000      2.16e-01    1.08e-01      9.12e-03    4.10e-04      3.69e-02    1.90e-02    3.2e-05
1861000      3.44e-01    4.97e-01      2.71e-02    1.16e-02      5.47e-02    8.65e-02    3.2e-05
1862000      5.51e-01    3.22e-01      2.53e-02    6.92e-03      9.22e-02    5.61e-02    3.2e-05
1863000      3.87e-01    2.11e-01      2.60e-02    4.96e-03      6.54e-02    3.63e-02    3.2e-05
1864000      9.46e-01    5.00e-01      6.89e-02    3.73e-02      1.61e-01    8.33e-02    3.2e-05
1865000      2.58e-01    3.00e-01      1.79e-02    3.00e-03      4.19e-02    5.28e-02    3.1e-05
1866000      2.06e-01    5.06e-01      2.07e-02    1.27e-01      3.30e-02    5.56e-02    3.1e-05
1867000      1.94e-01    3.37e-01      1.30e-02    9.23e-03      3.22e-02    5.88e-02    3.1e-05
1868000      3.53e-01    2.31e-01      2.57e-02    5.74e-03      5.64e-02    3.99e-02    3.1e-05
1869000      2.95e-01    1.48e-01      1.46e-02    2.62e-02      4.91e-02    1.56e-02    3.1e-05
1870000      4.78e-01    2.69e-01      1.96e-02    1.59e-02      8.27e-02    4.52e-02    3.1e-05
1871000      3.07e-01    3.18e-01      1.33e-02    9.30e-04      5.34e-02    5.62e-02    3.1e-05
1872000      2.44e-01    1.56e-01      2.09e-02    4.77e-03      4.02e-02    2.67e-02    3.1e-05
1873000      2.33e-01    1.01e+00      1.08e-02    6.80e-02      4.03e-02    1.77e-01    3.1e-05
1874000      4.87e-01    4.45e-01      3.54e-02    5.19e-02      8.15e-02    6.88e-02    3.1e-05
1875000      4.10e-01    3.39e-01      2.14e-02    5.70e-03      7.11e-02    6.00e-02    3.1e-05
1876000      4.15e-01    3.53e-01      2.83e-02    7.59e-03      7.16e-02    6.17e-02    3.1e-05
1877000      4.05e-01    9.09e-01      1.33e-02    8.19e-02      7.09e-02    1.56e-01    3.1e-05
1878000      3.18e-01    1.58e-01      2.05e-02    1.32e-02      5.30e-02    2.57e-02    3.1e-05
1879000      3.19e-01    2.62e-01      3.75e-02    1.63e-02      5.01e-02    4.03e-02    3.1e-05
1880000      2.63e-01    1.97e-01      5.37e-03    4.00e-02      4.63e-02    1.85e-02    3.0e-05
1881000      3.69e-01    6.18e-01      2.93e-02    1.31e-02      6.06e-02    1.10e-01    3.0e-05
1882000      4.37e-01    1.35e-01      4.83e-02    6.18e-04      7.05e-02    2.40e-02    3.0e-05
1883000      2.14e-01    1.03e-01      9.16e-03    4.25e-03      3.59e-02    1.74e-02    3.0e-05
1884000      2.16e-01    2.50e-01      1.41e-02    5.21e-02      3.68e-02    1.78e-02    3.0e-05
1885000      3.71e-01    1.90e-01      1.73e-02    1.20e-02      6.49e-02    2.93e-02    3.0e-05
1886000      3.08e-01    5.70e-01      1.99e-02    6.81e-02      5.19e-02    9.56e-02    3.0e-05
1887000      7.82e-01    4.09e-01      5.17e-02    3.91e-03      1.30e-01    7.32e-02    3.0e-05
1888000      2.38e-01    1.01e-01      2.79e-02    3.37e-03      3.75e-02    1.75e-02    3.0e-05
1889000      2.36e-01    1.04e-01      1.84e-02    1.66e-03      3.86e-02    1.84e-02    3.0e-05
1890000      4.40e-01    1.35e+00      1.98e-02    3.13e-01      7.73e-02    1.85e-01    3.0e-05
1891000      3.90e-01    9.95e-02      2.90e-02    9.36e-04      6.55e-02    1.79e-02    3.0e-05
1892000      3.27e-01    2.09e-01      1.65e-02    5.09e-03      5.67e-02    3.70e-02    3.0e-05
1893000      3.40e-01    4.95e-01      2.16e-02    5.16e-02      5.76e-02    8.52e-02    3.0e-05
1894000      2.84e-01    1.16e-01      1.34e-02    3.33e-03      4.98e-02    2.03e-02    3.0e-05
1895000      6.26e-01    1.25e-01      7.62e-02    1.59e-03      9.96e-02    2.26e-02    3.0e-05
1896000      3.34e-01    4.55e-01      5.01e-03    1.52e-02      6.00e-02    7.91e-02    3.0e-05
1897000      3.80e-01    1.54e-01      2.60e-02    8.23e-04      6.48e-02    2.78e-02    3.0e-05
1898000      3.27e-01    8.76e-01      1.46e-02    7.18e-02      5.75e-02    1.54e-01    3.0e-05
1899000      2.89e-01    3.95e-01      1.02e-02    4.32e-02      5.02e-02    6.11e-02    3.0e-05
1900000      3.23e-01    9.67e-02      4.06e-02    1.78e-03      5.26e-02    1.74e-02    2.9e-05
1901000      2.19e-01    4.71e-01      2.23e-02    3.46e-02      3.54e-02    8.03e-02    2.9e-05
1902000      3.73e-01    1.67e-01      3.77e-02    7.71e-04      5.43e-02    3.04e-02    2.9e-05
1903000      3.47e-01    2.90e-01      1.27e-02    7.40e-03      5.99e-02    5.23e-02    2.9e-05
1904000      2.00e-01    2.60e-01      1.44e-02    1.46e-03      3.31e-02    4.73e-02    2.9e-05
1905000      3.14e-01    8.95e-02      2.08e-02    2.20e-03      5.45e-02    1.60e-02    2.9e-05
1906000      2.93e-01    1.73e-01      1.71e-02    7.02e-03      5.15e-02    2.98e-02    2.9e-05
1907000      1.38e-01    2.32e-01      5.93e-03    1.22e-02      2.47e-02    3.83e-02    2.9e-05
1908000      3.55e-01    2.94e-01      1.92e-02    5.07e-02      6.12e-02    3.36e-02    2.9e-05
1909000      2.97e-01    9.96e-02      2.77e-02    3.19e-03      4.62e-02    1.76e-02    2.9e-05
1910000      4.77e-01    2.04e-01      5.22e-02    9.18e-05      7.95e-02    3.74e-02    2.9e-05
1911000      2.62e-01    1.58e-01      1.23e-02    4.18e-05      4.75e-02    2.89e-02    2.9e-05
1912000      3.04e-01    9.32e-02      1.90e-02    7.37e-03      5.32e-02    1.32e-02    2.9e-05
1913000      3.06e-01    4.15e-01      5.88e-03    2.14e-05      5.58e-02    7.61e-02    2.9e-05
1914000      3.82e-01    2.73e-01      2.59e-02    3.35e-03      6.79e-02    4.98e-02    2.9e-05
1915000      3.56e-01    6.28e-01      7.40e-03    4.57e-03      6.43e-02    1.15e-01    2.9e-05
1916000      3.48e-01    1.13e-01      1.25e-02    1.27e-03      6.28e-02    2.07e-02    2.9e-05
1917000      6.04e-01    2.52e-01      3.78e-02    3.87e-03      1.05e-01    4.61e-02    2.9e-05
1918000      2.00e-01    4.17e-01      2.06e-02    2.91e-02      3.30e-02    7.51e-02    2.9e-05
1919000      7.34e-01    1.20e-01      7.15e-02    4.05e-03      1.29e-01    2.14e-02    2.9e-05
1920000      2.34e-01    1.68e-01      7.08e-03    6.49e-03      4.22e-02    2.95e-02    2.8e-05
1921000      2.58e-01    1.91e-01      1.39e-02    1.01e-03      4.64e-02    3.53e-02    2.8e-05
1922000      5.84e-01    1.70e-01      3.38e-02    1.16e-02      1.06e-01    2.57e-02    2.8e-05
1923000      2.41e-01    1.22e-01      2.39e-02    8.37e-03      4.14e-02    1.88e-02    2.8e-05
1924000      2.97e-01    1.90e-01      3.04e-02    1.94e-03      4.83e-02    3.50e-02    2.8e-05
1925000      2.84e-01    4.84e-01      1.03e-02    6.66e-02      5.11e-02    7.24e-02    2.8e-05
1926000      3.57e-01    4.35e-01      2.85e-02    7.88e-03      6.14e-02    7.98e-02    2.8e-05
1927000      3.22e-01    7.79e-01      3.84e-02    3.99e-02      5.37e-02    1.41e-01    2.8e-05
1928000      3.32e-01    1.18e-01      9.97e-03    2.58e-03      6.08e-02    2.16e-02    2.8e-05
1929000      8.13e-01    1.09e-01      4.97e-02    8.99e-04      1.48e-01    2.03e-02    2.8e-05
1930000      2.27e-01    2.45e-01      9.14e-03    1.23e-03      4.12e-02    4.57e-02    2.8e-05
1931000      3.20e-01    1.95e-01      3.20e-02    8.49e-02      5.32e-02    2.44e-02    2.8e-05
1932000      4.12e-01    2.59e-01      1.99e-02    1.28e-03      7.40e-02    4.83e-02    2.8e-05
1933000      3.81e-01    1.05e+00      3.01e-02    8.61e-03      6.95e-02    1.97e-01    2.8e-05
1934000      1.82e-01    1.35e-01      1.64e-02    6.48e-03      3.08e-02    2.33e-02    2.8e-05
1935000      2.04e-01    2.42e-01      1.83e-02    1.67e-02      3.59e-02    3.77e-02    2.7e-05
1936000      5.01e-01    6.17e-01      2.96e-02    2.13e-02      9.15e-02    1.11e-01    2.7e-05
1937000      2.32e-01    1.12e-01      1.07e-02    2.52e-03      4.18e-02    2.06e-02    2.7e-05
1938000      3.23e-01    6.25e-01      1.81e-02    1.64e-02      5.82e-02    1.14e-01    2.7e-05
1939000      1.86e-01    8.53e-02      2.97e-03    6.07e-04      3.47e-02    1.60e-02    2.7e-05
1940000      2.81e-01    1.04e+00      9.31e-03    1.49e-01      5.12e-02    1.82e-01    2.7e-05
1941000      4.55e-01    1.41e-01      4.63e-02    2.48e-03      8.16e-02    2.63e-02    2.7e-05
1942000      9.61e-01    1.89e-01      1.54e-01    3.84e-02      1.59e-01    1.43e-02    2.7e-05
1943000      3.33e-01    1.22e+00      1.69e-02    1.28e-02      6.13e-02    2.29e-01    2.7e-05
1944000      1.74e-01    5.50e-01      8.27e-03    2.37e-02      3.15e-02    9.71e-02    2.7e-05
1945000      5.26e-01    6.93e-01      2.69e-02    1.00e-01      9.73e-02    1.17e-01    2.7e-05
1946000      1.68e-01    4.38e-01      4.55e-03    4.53e-02      3.14e-02    7.19e-02    2.7e-05
1947000      2.06e-01    6.97e-01      6.49e-03    1.12e-01      3.84e-02    1.18e-01    2.7e-05
1948000      2.12e-01    1.37e-01      2.58e-02    5.30e-03      3.66e-02    2.45e-02    2.7e-05
1949000      2.50e-01    3.12e-01      3.10e-02    2.02e-03      3.94e-02    5.90e-02    2.7e-05
1950000      1.89e-01    7.98e-02      1.20e-02    1.26e-03      3.28e-02    1.50e-02    2.7e-05
1951000      1.16e-01    1.14e-01      5.34e-03    1.67e-03      2.14e-02    2.15e-02    2.7e-05
1952000      2.02e-01    2.51e-01      9.17e-03    1.30e-02      3.77e-02    4.60e-02    2.7e-05
1953000      2.49e-01    1.30e-01      2.05e-02    2.66e-03      4.24e-02    2.44e-02    2.7e-05
1954000      3.33e-01    9.53e-02      3.24e-02    5.15e-04      5.83e-02    1.81e-02    2.7e-05
1955000      4.40e-01    3.45e-01      6.14e-03    5.20e-02      8.38e-02    5.11e-02    2.6e-05
1956000      4.89e-01    2.68e-01      5.13e-02    5.56e-04      8.73e-02    5.11e-02    2.6e-05
1957000      3.77e-01    2.67e-01      1.52e-02    1.77e-02      7.04e-02    4.87e-02    2.6e-05
1958000      3.75e-01    1.42e-01      1.90e-02    5.55e-03      6.82e-02    2.57e-02    2.6e-05
1959000      7.73e-01    4.95e-01      4.14e-02    3.96e-02      1.44e-01    8.77e-02    2.6e-05
1960000      1.63e-01    3.36e-01      9.75e-03    4.22e-03      2.96e-02    6.43e-02    2.6e-05
1961000      1.57e-01    4.97e-01      9.59e-03    4.96e-02      2.75e-02    8.51e-02    2.6e-05
1962000      2.03e-01    1.56e-01      1.38e-02    7.72e-03      3.71e-02    2.74e-02    2.6e-05
1963000      6.34e-01    6.29e-01      7.30e-02    2.67e-02      1.10e-01    1.19e-01    2.6e-05
1964000      2.56e-01    1.31e-01      2.55e-02    5.43e-03      4.66e-02    2.36e-02    2.6e-05
1965000      2.77e-01    3.85e-01      2.65e-02    2.07e-02      4.81e-02    7.16e-02    2.6e-05
1966000      2.98e-01    2.02e-01      1.99e-02    1.10e-02      5.33e-02    3.50e-02    2.6e-05
1967000      1.79e-01    2.74e-01      1.28e-02    1.40e-02      3.27e-02    5.09e-02    2.6e-05
1968000      2.44e-01    1.19e-01      1.95e-02    3.38e-02      4.47e-02    1.91e-02    2.6e-05
1969000      1.76e-01    1.38e-01      1.80e-02    3.47e-03      3.12e-02    2.60e-02    2.6e-05
1970000      2.32e-01    1.88e-01      2.60e-02    6.61e-03      3.85e-02    3.48e-02    2.6e-05
1971000      2.62e-01    1.44e-01      2.00e-02    7.79e-03      4.43e-02    2.51e-02    2.6e-05
1972000      2.89e-01    2.72e-01      1.82e-02    2.07e-02      5.46e-02    4.12e-02    2.6e-05
1973000      4.80e-01    1.16e+00      2.12e-02    2.84e-02      9.02e-02    2.24e-01    2.6e-05
1974000      2.14e-01    1.10e-01      1.49e-02    1.62e-03      3.50e-02    2.12e-02    2.6e-05
1975000      2.98e-01    1.28e-01      3.38e-02    6.06e-04      5.08e-02    2.49e-02    2.5e-05
1976000      7.13e-01    1.52e-01      1.17e-01    7.73e-03      1.21e-01    2.69e-02    2.5e-05
1977000      2.76e-01    3.40e-01      1.53e-02    8.32e-02      5.12e-02    5.78e-02    2.5e-05
1978000      2.86e-01    1.53e-01      4.23e-02    6.60e-04      4.83e-02    2.96e-02    2.5e-05
1979000      4.06e-01    2.54e-01      2.96e-02    4.22e-03      7.56e-02    4.90e-02    2.5e-05
1980000      3.35e-01    8.16e-02      2.16e-02    8.51e-05      5.85e-02    1.59e-02    2.5e-05
1981000      1.86e-01    2.63e-01      9.40e-03    1.40e-03      3.40e-02    5.12e-02    2.5e-05
1982000      2.92e-01    1.85e-01      2.74e-02    8.00e-04      5.23e-02    3.61e-02    2.5e-05
1983000      3.24e-01    9.77e-02      2.71e-02    5.05e-04      5.87e-02    1.91e-02    2.5e-05
1984000      2.46e-01    1.31e-01      1.10e-02    7.72e-03      4.62e-02    2.24e-02    2.5e-05
1985000      2.49e-01    1.65e-01      1.83e-02    6.76e-03      4.57e-02    3.05e-02    2.5e-05
1986000      3.47e-01    4.17e-01      2.07e-02    3.86e-02      6.61e-02    7.93e-02    2.5e-05
1987000      5.56e-01    1.33e-01      3.10e-02    5.74e-03      1.06e-01    2.44e-02    2.5e-05
1988000      3.31e-01    1.54e-01      1.35e-02    8.07e-03      6.35e-02    2.74e-02    2.5e-05
1989000      1.78e-01    1.55e-01      9.08e-03    1.32e-02      3.36e-02    2.17e-02    2.5e-05
1990000      4.82e-01    8.59e-01      7.57e-03    1.22e-01      9.43e-02    1.55e-01    2.5e-05
1991000      2.19e-01    1.78e+00      2.04e-02    1.99e-01      3.76e-02    3.34e-01    2.5e-05
1992000      9.94e-01    4.20e-01      7.82e-02    5.39e-02      1.84e-01    7.50e-02    2.5e-05
1993000      5.35e-01    2.12e-01      4.92e-02    1.89e-02      9.65e-02    3.78e-02    2.5e-05
1994000      3.66e-01    7.39e-01      2.88e-02    1.46e-01      6.88e-02    1.31e-01    2.5e-05
1995000      2.82e-01    3.06e-01      2.53e-02    6.41e-03      5.09e-02    5.96e-02    2.5e-05
1996000      1.66e-01    1.28e-01      5.83e-03    2.42e-04      3.23e-02    2.52e-02    2.5e-05
1997000      3.32e-01    1.12e+00      2.69e-02    6.07e-03      5.99e-02    2.22e-01    2.5e-05
1998000      2.99e-01    1.91e-01      3.97e-02    5.94e-03      5.34e-02    3.65e-02    2.5e-05
1999000      3.24e-01    1.17e-01      1.64e-02    5.09e-03      6.15e-02    2.17e-02    2.5e-05
2000000      3.76e-01    1.45e-01      2.78e-02    3.22e-03      7.15e-02    2.83e-02    2.4e-05
2001000      3.65e-01    8.31e-02      2.34e-02    5.99e-04      6.94e-02    1.65e-02    2.4e-05
2002000      3.28e-01    1.45e-01      2.45e-02    4.67e-03      6.11e-02    2.78e-02    2.4e-05
2003000      3.19e-01    1.04e-01      3.67e-02    7.90e-04      5.73e-02    2.06e-02    2.4e-05
2004000      7.03e-01    1.46e-01      8.57e-02    6.37e-03      1.27e-01    2.71e-02    2.4e-05
2005000      6.21e-01    5.52e-01      5.89e-02    6.53e-02      1.10e-01    1.02e-01    2.4e-05
2006000      2.10e-01    1.13e-01      1.50e-02    8.67e-03      3.74e-02    1.75e-02    2.4e-05
2007000      2.08e-01    1.17e+00      9.43e-03    1.57e-02      4.02e-02    2.34e-01    2.4e-05
2008000      1.91e-01    2.40e-01      1.58e-02    8.68e-03      3.55e-02    4.71e-02    2.4e-05
2009000      2.73e-01    7.19e-01      1.21e-02    4.08e-02      5.26e-02    1.42e-01    2.4e-05
2010000      2.12e-01    1.23e-01      1.53e-02    3.57e-03      4.01e-02    2.39e-02    2.4e-05
2011000      3.11e-01    1.19e-01      1.50e-02    7.48e-03      6.03e-02    2.06e-02    2.4e-05
2012000      6.08e-01    1.49e-01      5.72e-02    4.84e-03      1.18e-01    2.88e-02    2.4e-05
2013000      3.86e-01    1.89e-01      3.78e-02    2.79e-03      6.54e-02    3.75e-02    2.4e-05
2014000      1.61e-01    1.18e-01      2.04e-02    6.80e-03      2.93e-02    2.09e-02    2.4e-05
2015000      3.14e-01    3.64e-01      3.03e-02    3.87e-03      5.58e-02    7.32e-02    2.4e-05
2016000      1.81e-01    1.38e+00      1.59e-02    1.41e-01      3.45e-02    2.71e-01    2.4e-05
2017000      1.48e-01    1.52e-01      3.19e-03    2.32e-03      2.93e-02    3.03e-02    2.4e-05
2018000      5.17e-01    5.26e-01      5.19e-02    9.86e-02      9.16e-02    8.59e-02    2.4e-05
2019000      4.06e-01    1.33e-01      8.21e-02    6.31e-03      5.97e-02    2.47e-02    2.4e-05
2020000      5.36e-01    1.27e-01      4.96e-02    2.67e-03      1.01e-01    2.52e-02    2.3e-05
2021000      1.90e-01    1.23e-01      1.23e-02    2.46e-03      3.67e-02    2.46e-02    2.3e-05
2022000      2.44e-01    2.55e-01      1.08e-02    3.15e-03      4.72e-02    5.15e-02    2.3e-05
2023000      2.96e-01    2.11e-01      9.92e-03    3.46e-03      5.95e-02    4.22e-02    2.3e-05
2024000      2.47e-01    1.04e+00      2.23e-02    6.19e-02      4.59e-02    2.08e-01    2.3e-05
2025000      3.13e-01    8.09e-02      2.16e-02    7.56e-04      5.81e-02    1.64e-02    2.3e-05
2026000      2.10e-01    7.26e-01      3.90e-03    1.18e-01      4.20e-02    1.27e-01    2.3e-05
2027000      2.10e-01    2.31e-01      1.28e-02    5.09e-05      3.90e-02    4.70e-02    2.3e-05
2028000      2.64e-01    6.03e-01      3.12e-02    2.03e-01      4.72e-02    8.20e-02    2.3e-05
2029000      5.52e-01    3.85e-01      5.05e-02    1.52e-02      1.08e-01    7.67e-02    2.3e-05
2030000      4.84e-01    1.20e-01      7.41e-02    1.97e-04      8.48e-02    2.46e-02    2.3e-05
2031000      7.88e-01    3.65e-01      9.09e-02    1.54e-02      1.50e-01    6.99e-02    2.3e-05
2032000      3.06e-01    1.83e-01      2.94e-02    3.15e-03      5.72e-02    3.70e-02    2.3e-05
2033000      3.35e-01    8.84e-02      1.14e-02    1.03e-03      6.72e-02    1.80e-02    2.3e-05
2034000      4.57e-01    1.14e-01      2.14e-02    9.51e-04      9.08e-02    2.32e-02    2.3e-05
2035000      1.96e-01    4.74e-01      2.23e-02    1.89e-02      3.57e-02    9.64e-02    2.3e-05
2036000      4.12e-01    9.79e-02      3.39e-02    2.63e-03      7.56e-02    1.96e-02    2.3e-05
2037000      2.63e-01    7.00e-01      2.61e-02    1.59e-02      4.87e-02    1.43e-01    2.3e-05
2038000      2.53e-01    1.07e-01      1.08e-02    1.20e-03      5.09e-02    2.18e-02    2.3e-05
2039000      1.61e-01    4.33e-01      1.84e-02    1.59e-02      2.75e-02    8.45e-02    2.3e-05
2040000      3.69e-01    4.22e-01      2.12e-02    1.35e-02      7.27e-02    8.38e-02    2.3e-05
2041000      2.19e-01    1.03e-01      6.56e-03    3.05e-04      4.37e-02    2.11e-02    2.3e-05
2042000      2.59e-01    1.17e-01      2.99e-02    8.21e-03      4.53e-02    1.98e-02    2.3e-05
2043000      5.33e-01    1.20e-01      7.02e-02    2.17e-03      8.92e-02    2.45e-02    2.3e-05
2044000      5.09e-01    1.01e-01      8.49e-02    1.59e-03      8.35e-02    2.07e-02    2.3e-05
2045000      3.62e-01    1.60e-01      3.40e-02    7.54e-03      6.77e-02    3.05e-02    2.2e-05
2046000      3.25e-01    2.27e-01      5.08e-03    2.24e-02      6.68e-02    4.21e-02    2.2e-05
2047000      2.97e-01    1.10e-01      2.10e-02    8.63e-04      5.72e-02    2.26e-02    2.2e-05
2048000      7.59e-01    1.71e-01      9.04e-02    6.22e-03      1.41e-01    3.38e-02    2.2e-05
2049000      4.66e-01    1.97e-01      6.36e-02    1.12e-03      7.46e-02    4.07e-02    2.2e-05
2050000      2.75e-01    1.41e-01      2.57e-02    2.34e-03      5.49e-02    2.90e-02    2.2e-05
2051000      3.68e-01    1.21e-01      1.03e-02    1.01e-03      7.54e-02    2.50e-02    2.2e-05
2052000      2.99e-01    9.91e-02      1.29e-02    1.35e-03      6.06e-02    2.05e-02    2.2e-05
2053000      3.04e-01    2.25e-01      1.58e-02    3.50e-03      6.00e-02    4.63e-02    2.2e-05
2054000      6.21e-01    5.70e-01      6.19e-02    3.89e-02      1.24e-01    1.12e-01    2.2e-05
2055000      4.40e-01    1.92e-01      5.68e-02    9.15e-03      7.92e-02    3.69e-02    2.2e-05
2056000      1.96e-01    8.87e-02      1.40e-02    3.76e-03      3.85e-02    1.74e-02    2.2e-05
2057000      9.40e-01    1.92e-01      6.70e-02    2.79e-03      1.90e-01    3.99e-02    2.2e-05
2058000      2.68e-01    1.38e-01      1.56e-02    1.10e-02      5.39e-02    2.14e-02    2.2e-05
2059000      4.09e-01    3.59e-01      4.00e-02    8.31e-02      8.08e-02    6.67e-02    2.2e-05
2060000      2.46e-01    3.19e-01      1.94e-02    3.39e-02      4.73e-02    5.68e-02    2.2e-05
2061000      2.10e-01    1.57e-01      4.89e-03    9.39e-03      4.27e-02    2.86e-02    2.2e-05
2062000      4.46e-01    9.71e-02      4.86e-02    2.93e-04      8.38e-02    2.03e-02    2.2e-05
2063000      2.02e-01    9.53e-02      1.66e-02    1.31e-03      3.87e-02    1.99e-02    2.2e-05
2064000      3.41e-01    2.89e-01      2.60e-02    3.29e-02      6.85e-02    5.24e-02    2.2e-05
2065000      3.70e-01    1.22e-01      4.58e-02    6.99e-03      6.45e-02    2.27e-02    2.2e-05
2066000      2.23e-01    9.97e-02      3.33e-02    5.79e-04      3.87e-02    2.10e-02    2.2e-05
2067000      2.85e-01    1.32e-01      1.67e-02    2.46e-03      5.54e-02    2.75e-02    2.2e-05
2068000      3.42e-01    9.80e-02      4.40e-02    1.60e-03      6.64e-02    2.05e-02    2.2e-05
2069000      7.01e-01    1.30e-01      4.71e-02    1.33e-03      1.44e-01    2.72e-02    2.2e-05
2070000      3.78e-01    1.33e-01      2.04e-02    1.59e-03      7.70e-02    2.79e-02    2.1e-05
2071000      3.16e-01    2.00e-01      8.95e-02    4.11e-02      3.40e-02    1.95e-02    2.1e-05
2072000      2.71e-01    1.67e-01      1.34e-02    2.45e-03      5.32e-02    3.50e-02    2.1e-05
2073000      3.16e-01    2.21e-01      2.55e-02    1.37e-02      6.04e-02    4.04e-02    2.1e-05
2074000      2.73e-01    2.59e-01      1.91e-02    4.94e-02      5.29e-02    2.75e-02    2.1e-05
2075000      2.36e-01    3.37e-01      1.34e-02    8.42e-03      4.84e-02    7.00e-02    2.1e-05
2076000      4.53e-01    4.33e-01      4.61e-02    3.86e-02      7.91e-02    8.21e-02    2.1e-05
2077000      1.96e-01    5.72e-01      2.11e-02    1.36e-01      3.76e-02    1.03e-01    2.1e-05
2078000      1.80e-01    2.35e-01      7.00e-03    1.54e-03      3.71e-02    4.99e-02    2.1e-05
2079000      2.59e-01    7.25e-02      2.10e-02    1.22e-05      5.02e-02    1.54e-02    2.1e-05
2080000      3.10e-01    4.61e-01      7.29e-03    5.30e-02      6.54e-02    9.24e-02    2.1e-05
2081000      8.45e-01    1.23e-01      3.27e-02    6.98e-03      1.76e-01    2.32e-02    2.1e-05
2082000      3.55e-01    7.74e-02      3.69e-02    4.72e-03      7.20e-02    1.44e-02    2.1e-05
2083000      8.10e-01    2.03e-01      1.05e-01    6.80e-04      1.59e-01    4.33e-02    2.1e-05
2084000      1.97e-01    1.83e-01      1.11e-02    6.64e-03      3.93e-02    3.86e-02    2.1e-05
2085000      8.16e-01    1.99e-01      1.17e-01    4.09e-03      1.52e-01    4.24e-02    2.1e-05
2086000      2.01e-01    7.40e-01      1.29e-02    3.17e-02      4.09e-02    1.58e-01    2.1e-05
2087000      3.88e-01    1.45e-01      1.94e-02    2.55e-02      8.11e-02    2.03e-02    2.1e-05
2088000      3.80e-01    8.31e-02      1.84e-02    2.45e-03      7.89e-02    1.73e-02    2.1e-05
2089000      2.12e-01    5.03e-01      2.05e-02    1.06e-02      4.06e-02    1.08e-01    2.1e-05
2090000      2.42e-01    1.69e-01      1.68e-02    2.35e-03      4.91e-02    3.62e-02    2.1e-05
2091000      2.17e-01    9.96e-02      1.25e-02    2.98e-03      4.36e-02    2.08e-02    2.1e-05
2092000      3.46e-01    4.50e-01      3.24e-02    1.63e-02      6.07e-02    9.62e-02    2.1e-05
2093000      3.05e-01    8.53e-02      3.66e-02    1.72e-03      5.71e-02    1.81e-02    2.1e-05
2094000      3.06e-01    1.03e-01      2.61e-02    1.52e-03      5.87e-02    2.20e-02    2.1e-05
2095000      5.33e-01    8.69e-02      1.09e-01    1.37e-03      9.21e-02    1.86e-02    2.0e-05
